"treatment","stem_length","days_to_flower"
"low_water",3.2,123.5
"high_water",1.55,106
"low_water",1.5,119
"high_water",3.55,101.5
"low_water",0.8,135
"high_water",3.2,94.5
"low_water",0.7,109
"high_water",0.9,102.5
"low_water",2.15,121.5
"high_water",1.15,113.5
"high_water",0.75,117
"high_water",1.2,100
"low_water",0.5,122
"high_water",2.05,110
"high_water",2.83333333333333,111.333333333333
"low_water",1.4,139
"high_water",2.5,95
"low_water",2.7,160
"high_water",2.56666666666667,102.333333333333
"low_water",1.5,127
"high_water",6.25,87.5
"low_water",1.2,100
"high_water",3.75,92.5
"low_water",0.7,109.5
"high_water",5.8,91.5
"low_water",2.6,99
"high_water",5.75,97.5
"low_water",4.8,110.5
"high_water",5.3,91
"low_water",1.25,105.5
"high_water",4.25,93.5
"low_water",2.25,99.5
"high_water",5.55,90.5
"low_water",2.7,103.5
"high_water",5.1,87.5
"low_water",2.25,88
"low_water",1.45,96
"high_water",4.95,96.5
"low_water",2.8,102
"high_water",4.05,96
"low_water",1.1,103
"high_water",7.56666666666667,91.3333333333333
"low_water",4.75,102.5
"high_water",8.3,98
"low_water",1.9,137.5
"high_water",5.85,99.5
"low_water",1.45,133
"high_water",6.6,97.3333333333333
"low_water",3.7,113
"high_water",7.7,95
"low_water",1.5,107.5
"high_water",3.25,100
"low_water",0.9,119.5
"high_water",2.2,112
"low_water",1.7,120
"high_water",3.2,95
"low_water",0.5,129
"high_water",8.05,97
"low_water",2.5,122
"high_water",16.8,64
"low_water",9.3,70.5
"high_water",22.35,58
"low_water",7.5,62
"high_water",20,82
"low_water",2.8,94.5
"high_water",15.9,78
"low_water",4.55,76
"high_water",20.25,72.5
"low_water",6.5,72
"low_water",12.8,64
"high_water",17.5,72
"low_water",8.8,66
"high_water",26.45,68.5
"low_water",4.1,66
"high_water",10.3,60
"low_water",3.25,58
"high_water",10.15,72.5
"low_water",2.2,67
