"","Fire","Transect","Treated","Diameter","ScorchHt","CharHt","Slope","fake"
"371",3,16,0,2.765,1.167,3.194,-0.297,0.184846546544305
"372",3,16,0,5.375,1.504,2.828,-0.297,1.42064676076538
"373",3,16,0,0.517,-0.742,1.581,-1.18,0.842009508928903
"374",3,16,0,0.59,-0.155,0,-1.18,0.814903702068888
"375",3,16,0,0.59,-0.205,1.483,-1.18,-1.5288772894922
"376",3,16,0,0.88,-0.043,1.844,-1.18,0.507348333262924
"377",3,16,0,0.01,-0.018,2.191,-1.106,-0.264338400414069
"378",3,16,0,-1.223,-0.967,0.548,-1.106,1.3614599531057
"379",3,16,0,1.025,-0.492,2.121,-1.106,2.19706436482641
"380",3,16,0,1.387,0.219,2.757,-1.106,-0.483987163195488
"381",3,16,0,1.17,0.107,1.612,-0.959,-0.544802095285473
"382",3,16,0,0.735,0.182,1.483,-0.959,-0.0402868124798166
"383",3,16,0,1.315,0.107,1.817,-0.959,-0.251750076675631
"384",3,16,0,0.952,0.631,1.844,-0.959,0.836692412219324
"385",3,17,1,1.025,1.142,2.53,-0.738,-0.245279808700183
"386",3,17,1,-1.15,-0.405,2.387,-0.738,0.66944338782353
"387",3,17,1,0.735,1.018,1.411,-0.738,-0.0255109849565105
"388",3,17,1,0.59,1.142,3.098,-0.738,-0.616272037590881
"389",3,17,1,-0.425,0.356,2.214,0.365,1.62364241730179
"390",3,17,1,0.01,0.781,2.51,0.365,-0.123447005590242
"391",3,17,1,1.17,0.905,2.864,0.365,1.15034058000731
"392",3,17,1,0.88,1.093,2.881,0.365,-0.509564922636764
"393",3,17,1,0.082,0.818,2.775,-0.959,0.223281277251977
"394",3,17,1,1.097,1.529,3.421,-0.959,1.46834973148025
"395",3,17,1,2.33,1.479,3.347,-0.959,0.175545676673357
"396",3,17,1,1.605,2.341,2.898,-0.959,-1.3845492747193
"397",3,17,1,6.39,2.54,4.899,0.292,-1.52464192055303
"398",3,17,1,1.17,0.968,0.658,0.292,0.144971973339043
"399",3,17,1,-0.28,0.568,3.225,0.292,0.759728360537659
"400",3,17,1,-0.28,0.993,3.286,0.292,1.4882586919544
"401",3,17,1,0.88,1.43,3.834,-0.517,1.3072577633489
"402",3,17,1,-0.063,-0.205,2.366,-0.517,-1.35423290619976
"403",3,17,1,-1.005,-0.318,2.15,-0.517,1.82082928080848
"404",3,17,1,-0.28,0.244,1.146,-0.517,-1.22608188593411
"405",3,17,1,0.01,0.469,2.588,-0.591,0.176554521720923
"406",3,17,1,0.445,0.731,2.775,-0.591,-0.502676017168594
"407",3,17,1,0.3,0.107,2.324,-0.591,-0.75133100146782
"408",3,17,1,0.155,0.531,3.066,-0.591,-2.12831585262886
"409",3,17,1,-0.135,0.206,2.569,-0.812,-0.432285291496145
"410",3,17,1,2.475,1.118,3.017,-0.812,-1.00791606834208
